,Name,POS,Age,HT,WT,Exp,College,team
254,Daniel Ekuale96,DT,26,"6' 3""",300 lbs,2,Washington State,Browns
255,Jordan Elliott1,DT,22,"6' 4""",315 lbs,R,Missouri,Browns
256,Larry Ogunjobi65,DT,25,"6' 3""",305 lbs,4,Charlotte,Browns
257,Sheldon Richardson98,DT,29,"6' 3""",294 lbs,8,Missouri,Browns
258,Justin Zimmer99,DT,27,"6' 3""",300 lbs,2,Ferris State,Browns
259,Solomon Ajayi14,LB,--,"6' 1""",235 lbs,R,Liberty,Browns
260,Tae Davis55,LB,23,"6' 1""",224 lbs,3,Chattanooga,Browns
261,B.J. Goodson93,LB,26,"6' 1""",242 lbs,5,Clemson,Browns
262,Jermaine Grace48,LB,26,"6' 1""",223 lbs,4,Miami (FL),Browns
263,Willie Harvey56,LB,24,"5' 11""",230 lbs,2,Iowa State,Browns
264,Montrel Meander41,LB,25,"6' 2""",215 lbs,1,Grambling State,Browns
265,Jacob Phillips0,LB,21,"6' 4""",233 lbs,R,LSU,Browns
266,Sione Takitaki44,LB,24,"6' 1""",238 lbs,2,BYU,Browns
267,Mack Wilson51,LB,22,"6' 1""",233 lbs,2,Alabama,Browns
268,A.J. Green,CB,--,"6' 1""",190 lbs,R,Oklahoma State,Browns
269,Jameson Houston,CB,--,"5' 11""",200 lbs,R,Baylor,Browns
270,Robert Jackson34,CB,26,"6' 2""",207 lbs,2,UNLV,Browns
271,Kevin Johnson29,CB,27,"6' 0""",185 lbs,6,Wake Forest,Browns
272,Donnie Lewis Jr.37,CB,23,"6' 0""",195 lbs,1,Tulane,Browns
273,Terrance Mitchell39,CB,27,"5' 11""",191 lbs,7,Oregon,Browns
274,Donovan Olumba32,CB,24,"6' 2""",205 lbs,1,Portland State,Browns
275,Tavierre Thomas20,CB,24,"5' 10""",205 lbs,3,Ferris State,Browns
276,Denzel Ward21,CB,23,"5' 11""",190 lbs,3,Ohio State,Browns
277,Greedy Williams26,CB,22,"6' 2""",185 lbs,2,LSU,Browns
278,Elijah Benton,S,--,"6' 1""",205 lbs,R,Liberty,Browns
279,Grant Delpit7,S,21,"6' 3""",203 lbs,R,LSU,Browns
280,J.T. Hassell49,S,24,"5' 11""",200 lbs,2,Florida Tech,Browns
281,Karl Joseph42,S,26,"5' 10""",200 lbs,5,West Virginia,Browns
282,Jovante Moffatt,S,--,"6' 0""",210 lbs,R,Middle Tennessee,Browns
283,Sheldrick Redwine29,S,23,"6' 0""",196 lbs,2,Miami (FL),Browns
284,Andrew Sendejo34,S,32,"6' 1""",210 lbs,10,Rice,Browns
285,Chris Wormley93,NT,26,"6' 5""",300 lbs,4,Michigan,Steelers
286,Tyson Alualu94,DE,32,"6' 3""",304 lbs,11,California,Steelers
287,Isaiah Buggs96,DE,23,"6' 3""",295 lbs,2,Alabama,Steelers
288,Dewayne Hendrix73,DE,24,"6' 4""",270 lbs,1,Pittsburgh,Steelers
289,James Lockhart9,DE,--,"6' 2""",263 lbs,R,Baylor,Steelers
290,Henry Mondeaux99,DE,24,"6' 4""",280 lbs,1,Oregon,Steelers
291,Calvin Taylor Jr.91,DE,--,"6' 9""",310 lbs,R,Kentucky,Steelers
292,Stephon Tuitt91,DE,26,"6' 6""",303 lbs,7,Notre Dame,Steelers
293,Josiah Coatney40,DT,24,"6' 4""",309 lbs,R,Ole Miss,Steelers
294,Carlos Davis96,DT,23,"6' 2""",320 lbs,R,Nebraska,Steelers
295,Cameron Heyward97,DT,30,"6' 5""",295 lbs,10,Ohio State,Steelers
296,Dan McCullers93,DT,27,"6' 7""",352 lbs,7,Tennessee,Steelers
297,Cavon Walker99,DT,25,"6' 2""",278 lbs,1,Maryland,Steelers
298,Olasunkanmi Adeniyi92,LB,22,"6' 1""",248 lbs,3,Toledo,Steelers
299,Devin Bush55,LB,21,"5' 11""",234 lbs,2,Michigan,Steelers
300,Bud Dupree48,LB,27,"6' 4""",269 lbs,6,Kentucky,Steelers
301,Ulysees Gilbert III54,LB,22,"6' 0""",230 lbs,2,Akron,Steelers
302,Alex Highsmith5,LB,22,"6' 4""",242 lbs,R,Charlotte,Steelers
303,John Houston Jr.10,LB,--,"6' 3""",220 lbs,R,USC,Steelers
304,Christian Kuntz99,LB,26,"6' 1""",227 lbs,1,Duquesne,Steelers
305,Leo Lewis10,LB,23,"6' 2""",245 lbs,R,Mississippi State,Steelers
306,Tuzar Skipper51,LB,24,"6' 3""",246 lbs,2,Toledo,Steelers
307,Robert Spillane41,LB,24,"6' 1""",229 lbs,2,Western Michigan,Steelers
308,T.J. Watt90,LB,25,"6' 4""",252 lbs,4,Wisconsin,Steelers
309,Vince Williams98,LB,30,"6' 1""",233 lbs,8,Florida State,Steelers
310,Trajan Bandy2,CB,20,"5' 9""",186 lbs,R,Miami (FL),Steelers
311,Breon Borders48,CB,24,"6' 0""",189 lbs,2,Duke,Steelers
312,Joe Haden23,CB,31,"5' 11""",195 lbs,11,Florida,Steelers
313,Mike Hilton28,CB,26,"5' 9""",184 lbs,4,Ole Miss,Steelers
314,Justin Layne31,CB,22,"6' 2""",192 lbs,2,Michigan State,Steelers
