PlayerID,Salary
Damien Wilson54,720000
Andy Janovich32,720000
Trevor Davis,720000
Tyler Matakevich44,720000
DeForest Buckner99,720000
Derek Watt34,720000
Sharrod Neasman41,720000
Maurice Canady28,720000
LeShaun Sims38,720000
Riley Dixon9,720000
Andrew Adams26,720000
Mike Thomas80,720000
DeAndre Houston-Carson36,720000
Carson Wentz11,720000
Dwayne Washington24,720000
Kameron Canaday57,720000
C.J. Goodwin29,720000
Joe Dahl66,720000
Jayron Kearse27,720000
Darius Jennings11,720000
Senorise Perry,720000
Clayton Fejedelem42,720000
Damiere Byrd14,720000
Cody Core17,720000
Jihad Ward53,720000
Jakeem Grant19,720000
Darian Thompson23,720000
DeAndre Washington24,720000
Josh Andrews63,720000
B.J. Goodson93,720000
Darren Waller83,720000
Danny Vitale45,720000
Luke Rhodes46,720000
Joey Bosa97,720000
Romeo Okwara95,720000
MyCole Pruitt85,720000
Patrick Scales48,720000
Deon Bush26,720000
John Wetzel75,720000
Ibraheim Campbell,720000
Jeff Driskel9,720000
Kavon Frazier,720000
Andrew Billings99,720000
Brett Jones61,720000
Chris Moore10,720000
Miles Killebrew35,720000
Shilique Calhoun90,720000
Kemoko Turay57,717200
Alex Anzalone47,717000
Zach Gentry81,715000
M.J. Stewart36,711051
Dre Greenlaw57,710000
Hunter Renfrow13,707500
Daylon Mack94,704500
Cameron Smith59,702500
Reid Ferguson69,700000
Matt LaCosse83,700000
E.J. Speed45,700000
Kerry Hyder92,700000
Donte Jackson26,698751
P.J. Hall92,693830
Isaiah Oliver26,690757
Tim Williams47,690000
Tarell Basham93,687500
Derrius Guice29,686452
James Washington13,684607
Fabian Moreau31,684000
Brian O'Neill75,680302
Shaquill Griffin26,680000
Kaden Smith82,679750
Carlton Davis24,679687
Eddie Vanderdoes95,679000
Tyquan Lewis94,678457
Cameron Sutton20,677400
Chris Godwin14,677000
Kenny Golladay19,676000
Jourdan Lewis26,675000
Justin Skule67,672500
Ka'dar Hollman29,672500
Chad Williams11,671500
