,Rank,TACKLE,ASSIST,SACK,PD,INT,FF,FR,DEF TD,G,FPTS,FPTS/G,OWN,Year,PlayerID
337,655,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2017,Kemon Hall37
338,616,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2018,Kemon Hall37
339,622,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2019,Kemon Hall37
340,179,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.4%,2013,Ka'dar Hollman29
341,778,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.4%,2014,Ka'dar Hollman29
342,762,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.4%,2015,Ka'dar Hollman29
343,700,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.4%,2016,Ka'dar Hollman29
344,682,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.4%,2017,Ka'dar Hollman29
345,610,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.4%,2018,Ka'dar Hollman29
346,624,0,0,0.0,0,0,0,0,0,4,0.0,0.0,0.4%,2019,Ka'dar Hollman29
347,180,0,0,0.0,0,0,0,0,0,0,0.0,0.0,4.0%,2013,Rock Ya-Sin26
348,770,0,0,0.0,0,0,0,0,0,0,0.0,0.0,4.0%,2014,Rock Ya-Sin26
349,763,0,0,0.0,0,0,0,0,0,0,0.0,0.0,4.0%,2015,Rock Ya-Sin26
350,694,0,0,0.0,0,0,0,0,0,0,0.0,0.0,4.0%,2016,Rock Ya-Sin26
351,674,0,0,0.0,0,0,0,0,0,0,0.0,0.0,4.0%,2017,Rock Ya-Sin26
352,611,0,0,0.0,0,0,0,0,0,0,0.0,0.0,4.0%,2018,Rock Ya-Sin26
353,77,53,8,0.0,5,1,0,1,0,15,107.2,7.1,4.0%,2019,Rock Ya-Sin26
354,181,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2013,Alijah Holder49
355,779,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0%,2014,Alijah Holder49
