,Name,Height,Height Percentile,Weight,Weight Percentile,Forty Yard Dash,Forty Yard Dash Percentile,Shuttle Time,Shuttle TIme Percentile,Cone Drill,Cone Drill Percentile,Vertical Jump,Vertical Jump Percentile,Broad Jump,Broad Jump Percentile,Bench Press,Bench Press Percentile,Hand Length,Hand Length Percentil,Arm Length,Arm Length Percentile
4384,Brian Robison,"6' 3""",20%,259 lbs,26%,4.67 sec,84%,4.26 sec,84%,6.89 sec,96%,40.5 in,97%,121 in,85%,27 reps,75%,NaN,NaN,NaN,NaN
4385,Amobi Okoye,"6' 2""",20%,292 lbs,13%,5.07 sec,57%,NaN,NaN,7.46 sec,60%,30.0 in,60%,111 in,85%,29 reps,55%,NaN,NaN,NaN,NaN
4387,Ray McDonald,"6' 3""",20%,290 lbs,92%,4.88 sec,35%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4406,Patrick Willis,"6' 1""",10%,240 lbs,40%,4.51 sec,92%,4.46 sec,16%,7.23 sec,37%,39.0 in,90%,119 in,70%,22 reps,45%,NaN,NaN,NaN,NaN
4413,Leon Hall,"5' 11""",50%,195 lbs,63%,4.39 sec,83%,4.07 sec,70%,6.50 sec,98%,37.5 in,73%,125 in,70%,15 reps,50%,NaN,NaN,NaN,NaN
4415,Aaron Ross,"6' 1""",70%,190 lbs,40%,4.44 sec,65%,4.15 sec,50%,6.67 sec,84%,34.0 in,30%,118 in,30%,17 reps,70%,NaN,NaN,NaN,NaN
4418,Josh Wilson,"5' 9""",10%,188 lbs,27%,4.39 sec,83%,4.43 sec,8%,7.07 sec,12%,36.5 in,65%,120 in,40%,20 reps,90%,NaN,NaN,NaN,NaN
4430,LaRon Landry,"6' 0""",35%,226 lbs,93%,4.35 sec,97%,NaN,NaN,NaN,NaN,37.5 in,75%,123 in,75%,NaN,NaN,NaN,NaN,NaN,NaN
4431,Michael Griffin,"6' 0""",35%,215 lbs,77%,4.45 sec,86%,4.10 sec,83%,6.60 sec,100%,36.0 in,55%,120 in,50%,16 reps,40%,NaN,NaN,NaN,NaN
4432,Reggie Nelson,"5' 11""",20%,210 lbs,50%,4.48 sec,80%,NaN,NaN,NaN,NaN,34.5 in,40%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4433,Brandon Meriweather,"5' 11""",20%,197 lbs,10%,4.47 sec,82%,4.33 sec,22%,7.06 sec,20%,35.0 in,45%,111 in,8%,11 reps,8%,NaN,NaN,NaN,NaN
4434,Eric Weddle,"5' 11""",20%,195 lbs,8%,4.48 sec,80%,4.12 sec,77%,6.78 sec,70%,33.5 in,27%,113 in,13%,11 reps,8%,NaN,NaN,NaN,NaN
4445,Eric Frampton,"5' 11""",20%,205 lbs,30%,4.61 sec,35%,4.17 sec,60%,6.84 sec,66%,34.5 in,40%,122 in,70%,10 reps,6%,NaN,NaN,NaN,NaN
4455,James Jones,"6' 1""",40%,208 lbs,60%,4.54 sec,37%,4.20 sec,58%,7.06 sec,22%,34.0 in,35%,119 in,45%,22 reps,93%,NaN,NaN,NaN,NaN
4457,Brandon Mebane,"6' 1""",10%,311 lbs,71%,5.15 sec,36%,4.65 sec,50%,7.94 sec,12%,24.0 in,8%,116 in,96%,24 reps,20%,NaN,NaN,NaN,NaN
4467,Brent Celek,"6' 4""",30%,255 lbs,55%,4.79 sec,38%,4.31 sec,70%,7.20 sec,29%,33.0 in,50%,112 in,30%,19 reps,30%,10.13 in,70%,31.38 in,0%
4482,Jason Snelling,"5' 11""",60%,223 lbs,75%,4.79 sec,8%,4.38 sec,27%,NaN,NaN,30.0 in,9%,111 in,15%,NaN,NaN,NaN,NaN,NaN,NaN
4545,Antonio Johnson,"6' 3""",40%,328 lbs,90%,5.15 sec,36%,4.49 sec,80%,7.47 sec,57%,29.0 in,50%,108 in,70%,28 reps,50%,NaN,NaN,NaN,NaN
4579,Pierre Thomas,"5' 11""",60%,215 lbs,55%,4.65 sec,22%,4.31 sec,38%,7.12 sec,30%,35.5 in,65%,119 in,60%,21 reps,60%,NaN,NaN,NaN,NaN
4593,Dashon Goldson,"6' 2""",80%,200 lbs,16%,4.60 sec,38%,4.46 sec,9%,7.37 sec,0%,34.5 in,40%,115 in,20%,12 reps,10%,NaN,NaN,NaN,NaN
4594,Jim Leonhard,"5' 8""",0%,185 lbs,1%,4.63 sec,30%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19 reps,70%,NaN,NaN,NaN,NaN
4633,Reed Doughty,"6' 1""",40%,209 lbs,47%,4.65 sec,20%,4.17 sec,60%,6.66 sec,95%,37.0 in,70%,121 in,60%,15 reps,30%,NaN,NaN,NaN,NaN
4640,Jonathan Stewart,"5' 10""",50%,240 lbs,93%,4.68 sec,17%,4.53 sec,8%,7.44 sec,0%,31.0 in,13%,118 in,50%,19 reps,40%,NaN,NaN,NaN,NaN
4641,Darren McFadden,"6' 1""",90%,210 lbs,40%,4.33 sec,94%,NaN,NaN,NaN,NaN,33.0 in,30%,128 in,93%,NaN,NaN,NaN,NaN,NaN,NaN
4643,DeSean Jackson,"5' 10""",10%,175 lbs,7%,4.35 sec,91%,NaN,NaN,NaN,NaN,NaN,NaN,120 in,50%,NaN,NaN,9.38 in,60%,29.75 in,6%
4646,Felix Jones,"5' 10""",50%,215 lbs,55%,4.44 sec,82%,4.19 sec,67%,NaN,NaN,33.5 in,35%,124 in,87%,NaN,NaN,NaN,NaN,NaN,NaN
4647,Rashard Mendenhall,"5' 10""",50%,225 lbs,78%,4.41 sec,88%,4.18 sec,70%,NaN,NaN,33.5 in,35%,117 in,45%,26 reps,90%,NaN,NaN,NaN,NaN
4648,Kenny Phillips,"6' 2""",80%,210 lbs,50%,4.48 sec,80%,4.27 sec,36%,6.97 sec,53%,32.5 in,20%,121 in,60%,19 reps,70%,NaN,NaN,NaN,NaN
4649,Calais Campbell,"6' 8""",99%,300 lbs,97%,5.04 sec,8%,4.69 sec,16%,7.45 sec,12%,29.5 in,17%,111 in,30%,16 reps,7%,NaN,NaN,NaN,NaN
4652,Curtis Lofton,"6' 0""",7%,241 lbs,45%,4.79 sec,29%,4.56 sec,8%,7.69 sec,0%,24.5 in,0%,105 in,9%,23 reps,50%,NaN,NaN,NaN,NaN
4653,Aqib Talib,"6' 1""",70%,209 lbs,93%,4.44 sec,65%,4.22 sec,35%,6.82 sec,50%,38.0 in,77%,131 in,93%,10 reps,10%,NaN,NaN,NaN,NaN
4656,Earl Bennett,"5' 11""",20%,209 lbs,63%,4.48 sec,60%,4.22 sec,53%,NaN,NaN,26.0 in,0%,110 in,6%,15 reps,50%,NaN,NaN,NaN,NaN
4658,Brandon Flowers,"5' 9""",10%,187 lbs,23%,4.55 sec,26%,NaN,NaN,NaN,NaN,30.0 in,4%,117 in,25%,14 reps,40%,NaN,NaN,NaN,NaN
4659,Erin Henderson,"6' 3""",70%,244 lbs,65%,4.73 sec,45%,4.50 sec,11%,7.16 sec,50%,31.0 in,20%,113 in,30%,23 reps,50%,NaN,NaN,NaN,NaN
4661,Mario Manningham,"5' 11""",20%,183 lbs,12%,4.59 sec,18%,4.27 sec,38%,7.34 sec,3%,32.0 in,13%,117 in,30%,16 reps,60%,NaN,NaN,NaN,NaN
4663,Pat Sims,"6' 2""",20%,330 lbs,90%,5.06 sec,60%,NaN,NaN,NaN,NaN,27.0 in,30%,NaN,NaN,20 reps,7%,NaN,NaN,NaN,NaN
4666,Jerod Mayo,"6' 1""",10%,250 lbs,86%,4.54 sec,90%,4.29 sec,55%,7.31 sec,26%,32.0 in,30%,114 in,40%,NaN,NaN,NaN,NaN,NaN,NaN
4668,Geno Hayes,"6' 1""",10%,226 lbs,7%,4.64 sec,70%,4.48 sec,13%,7.22 sec,39%,26.5 in,4%,116 in,50%,22 reps,45%,NaN,NaN,NaN,NaN
4670,Chris Long,"6' 3""",20%,270 lbs,60%,4.75 sec,68%,4.21 sec,88%,7.02 sec,86%,34.0 in,60%,124 in,91%,NaN,NaN,NaN,NaN,NaN,NaN
4671,Glenn Dorsey,"6' 1""",0%,297 lbs,95%,5.12 sec,4%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4672,Matt Ryan,"6' 4""",70%,217 lbs,27%,4.89 sec,34%,4.51 sec,22%,7.40 sec,7%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4674,Sedrick Ellis,"6' 2""",20%,305 lbs,50%,5.26 sec,21%,4.73 sec,35%,7.78 sec,22%,26.5 in,25%,105 in,50%,34 reps,83%,NaN,NaN,NaN,NaN
4676,Mike Jenkins,"5' 10""",20%,197 lbs,70%,4.38 sec,87%,4.40 sec,9%,7.21 sec,5%,34.0 in,30%,117 in,25%,18 reps,80%,NaN,NaN,NaN,NaN
4681,Dan Connor,"6' 3""",70%,233 lbs,16%,4.67 sec,60%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4689,Chris Johnson,"5' 11""",60%,203 lbs,22%,4.24 sec,100%,NaN,NaN,NaN,NaN,35.0 in,60%,130 in,96%,NaN,NaN,NaN,NaN,30.25 in,30%
4710,Joe Flacco,"6' 6""",90%,245 lbs,93%,4.84 sec,43%,4.27 sec,64%,6.82 sec,88%,28.5 in,20%,110 in,50%,NaN,NaN,NaN,NaN,NaN,NaN
4715,Josh Johnson,"6' 3""",60%,219 lbs,33%,4.65 sec,82%,4.25 sec,67%,6.99 sec,75%,35.0 in,90%,114 in,75%,16 reps,20%,NaN,NaN,NaN,NaN
4720,Matt Flynn,"6' 2""",30%,225 lbs,60%,4.79 sec,58%,4.34 sec,53%,NaN,NaN,28.0 in,18%,109 in,40%,NaN,NaN,NaN,NaN,NaN,NaN
4723,Ray Rice,"5' 8""",10%,212 lbs,47%,4.42 sec,86%,4.20 sec,63%,6.65 sec,95%,31.5 in,17%,119 in,60%,23 reps,70%,NaN,NaN,NaN,NaN
4724,Matt Forte,"6' 2""",93%,218 lbs,63%,4.44 sec,82%,4.23 sec,53%,6.84 sec,81%,33.0 in,30%,118 in,50%,23 reps,70%,NaN,NaN,NaN,NaN
4725,Jamaal Charles,"5' 11""",60%,199 lbs,15%,4.38 sec,91%,4.22 sec,57%,6.80 sec,87%,30.5 in,10%,122 in,80%,NaN,NaN,NaN,NaN,NaN,NaN
4726,Tashard Choice,"5' 10""",50%,210 lbs,40%,4.48 sec,72%,NaN,NaN,NaN,NaN,34.0 in,40%,119 in,60%,20 reps,50%,NaN,NaN,NaN,NaN
4731,Justin Forsett,"5' 8""",10%,195 lbs,10%,4.62 sec,30%,NaN,NaN,6.96 sec,55%,26.5 in,2%,112 in,20%,26 reps,90%,NaN,NaN,NaN,NaN
4732,Jalen Parmele,"5' 11""",60%,225 lbs,78%,4.47 sec,75%,4.29 sec,40%,6.96 sec,55%,34.0 in,40%,125 in,90%,19 reps,40%,NaN,NaN,NaN,NaN
4743,Donnie Avery,"5' 11""",20%,200 lbs,43%,4.43 sec,75%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16 reps,60%,NaN,NaN,NaN,NaN
4744,Andre Caldwell,"6' 0""",30%,200 lbs,43%,4.35 sec,91%,4.11 sec,80%,NaN,NaN,33.0 in,20%,124 in,75%,NaN,NaN,NaN,NaN,NaN,NaN
4745,Jerome Simpson,"6' 2""",60%,190 lbs,24%,4.42 sec,78%,4.52 sec,8%,7.08 sec,18%,37.5 in,80%,136 in,98%,NaN,NaN,NaN,NaN,NaN,NaN
4746,Lavelle Hawkins,"5' 11""",20%,194 lbs,32%,4.57 sec,25%,NaN,NaN,NaN,NaN,NaN,NaN,117 in,30%,14 reps,40%,NaN,NaN,NaN,NaN
4747,Chad Henne,"6' 3""",60%,222 lbs,45%,4.92 sec,30%,4.40 sec,42%,NaN,NaN,NaN,NaN,26 in,0%,106 reps,100%,NaN,NaN,NaN,NaN
4752,Eddie Royal,"5' 10""",10%,190 lbs,24%,4.39 sec,84%,4.34 sec,26%,7.07 sec,20%,36.0 in,60%,124 in,75%,24 reps,96%,NaN,NaN,NaN,NaN
4753,Jordy Nelson,"6' 3""",80%,217 lbs,83%,4.51 sec,47%,4.35 sec,24%,7.03 sec,27%,31.0 in,9%,123 in,70%,NaN,NaN,10.00 in,90%,32.50 in,57%
4756,Josh Morgan,"6' 1""",40%,220 lbs,87%,4.46 sec,67%,4.29 sec,35%,7.06 sec,22%,40.5 in,94%,120 in,50%,14 reps,40%,NaN,NaN,NaN,NaN
4761,Harry Douglas,"6' 0""",30%,183 lbs,12%,4.51 sec,47%,4.12 sec,78%,6.57 sec,92%,31.0 in,9%,120 in,50%,NaN,NaN,NaN,NaN,NaN,NaN
4765,Pierre Garcon,"6' 0""",30%,211 lbs,70%,4.42 sec,78%,4.19 sec,60%,6.90 sec,50%,36.5 in,70%,125 in,80%,20 reps,90%,NaN,NaN,31.13 in,20%
4767,Darius Reynaud,"5' 9""",20%,201 lbs,18%,4.48 sec,72%,4.32 sec,36%,NaN,NaN,34.5 in,50%,130 in,96%,20 reps,50%,NaN,NaN,NaN,NaN
4770,John Carlson,"6' 5""",60%,248 lbs,30%,4.88 sec,20%,4.28 sec,77%,7.12 sec,50%,30.5 in,25%,113 in,40%,20 reps,40%,NaN,NaN,NaN,NaN
4771,Martellus Bennett,"6' 6""",80%,275 lbs,95%,4.68 sec,70%,4.53 sec,20%,7.64 sec,0%,34.0 in,65%,118 in,75%,18 reps,20%,NaN,NaN,NaN,NaN
4781,Quentin Groves,"6' 3""",70%,265 lbs,97%,4.53 sec,91%,4.42 sec,20%,7.31 sec,26%,29.5 in,9%,120 in,75%,30 reps,91%,NaN,NaN,NaN,NaN
4783,Jason Jones,"6' 5""",70%,278 lbs,81%,4.76 sec,66%,4.32 sec,77%,7.29 sec,31%,25.5 in,3%,123 in,91%,18 reps,10%,NaN,NaN,NaN,NaN
4788,Kendall Langford,"6' 6""",90%,299 lbs,96%,4.95 sec,20%,4.69 sec,16%,7.72 sec,1%,27.0 in,6%,114 in,47%,24 reps,50%,NaN,NaN,NaN,NaN
4790,Wallace Gilberry,"6' 2""",10%,270 lbs,60%,4.98 sec,14%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19 reps,15%,NaN,NaN,NaN,NaN
4794,Cliff Avril,"6' 3""",20%,260 lbs,28%,4.51 sec,96%,4.51 sec,33%,6.90 sec,96%,32.5 in,45%,117 in,60%,27 reps,75%,NaN,NaN,NaN,NaN
4796,Philip Wheeler,"6' 2""",50%,245 lbs,70%,4.76 sec,37%,4.29 sec,55%,7.11 sec,56%,31.0 in,20%,118 in,60%,24 reps,60%,NaN,NaN,NaN,NaN
4797,Tavares Gooden,"6' 1""",10%,234 lbs,18%,4.62 sec,75%,NaN,NaN,NaN,NaN,35.0 in,60%,118 in,60%,22 reps,45%,NaN,NaN,NaN,NaN
4799,Bryan Kehl,"6' 2""",50%,242 lbs,50%,4.67 sec,60%,4.23 sec,68%,6.88 sec,91%,34.0 in,53%,119 in,70%,26 reps,75%,NaN,NaN,NaN,NaN
4801,Gary Guyton,"6' 2""",50%,245 lbs,70%,4.47 sec,95%,4.42 sec,20%,7.07 sec,60%,36.5 in,75%,126 in,92%,15 reps,7%,NaN,NaN,NaN,NaN
4802,Wesley Woodyard,"6' 0""",7%,233 lbs,16%,4.51 sec,92%,4.25 sec,65%,7.15 sec,51%,30.0 in,10%,118 in,60%,NaN,NaN,NaN,NaN,NaN,NaN
4803,Stanford Keglar,"6' 2""",50%,239 lbs,37%,4.58 sec,83%,3.98 sec,97%,6.70 sec,100%,34.0 in,53%,126 in,92%,29 reps,90%,NaN,NaN,NaN,NaN
4808,Jo-Lonn Dunbar,"6' 0""",7%,235 lbs,20%,4.79 sec,29%,NaN,NaN,NaN,NaN,27.0 in,5%,112 in,25%,29 reps,90%,NaN,NaN,NaN,NaN
4811,Dominique Rodgers-Cromartie,"6' 2""",93%,205 lbs,91%,4.29 sec,97%,4.17 sec,46%,6.74 sec,70%,38.5 in,80%,131 in,93%,17 reps,70%,NaN,NaN,NaN,NaN
4812,Leodis McKelvin,"5' 10""",20%,185 lbs,18%,4.38 sec,87%,4.10 sec,64%,7.06 sec,13%,33.5 in,20%,121 in,50%,17 reps,70%,NaN,NaN,NaN,NaN
4813,Antoine Cason,"6' 1""",70%,195 lbs,63%,4.45 sec,60%,4.08 sec,68%,NaN,NaN,35.5 in,50%,128 in,85%,20 reps,90%,NaN,NaN,NaN,NaN
4815,Tracy Porter,"5' 11""",50%,200 lbs,82%,4.37 sec,90%,4.07 sec,70%,7.20 sec,5%,34.0 in,30%,123 in,60%,18 reps,80%,NaN,NaN,NaN,NaN
4817,Charles Godfrey,"5' 11""",20%,210 lbs,50%,4.43 sec,90%,4.40 sec,13%,7.28 sec,2%,32.5 in,20%,121 in,60%,14 reps,20%,NaN,NaN,NaN,NaN
4818,Tyvon Branch,"6' 0""",35%,210 lbs,50%,4.31 sec,100%,4.40 sec,13%,NaN,NaN,34.0 in,30%,120 in,50%,19 reps,70%,NaN,NaN,NaN,NaN
4819,Terrell Thomas,"6' 1""",70%,202 lbs,86%,4.45 sec,60%,NaN,NaN,7.18 sec,6%,30.5 in,6%,123 in,60%,14 reps,40%,NaN,NaN,NaN,NaN
4823,Tyrell Johnson,"6' 0""",35%,207 lbs,40%,4.41 sec,92%,NaN,NaN,NaN,NaN,32.0 in,15%,127 in,90%,27 reps,97%,NaN,NaN,NaN,NaN
4824,Thomas DeCoud,"6' 2""",80%,195 lbs,8%,4.50 sec,73%,4.27 sec,36%,6.85 sec,65%,35.5 in,50%,122 in,70%,NaN,NaN,NaN,NaN,NaN,NaN
4825,Tom Zbikowski,"5' 11""",20%,211 lbs,60%,4.44 sec,88%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24 reps,92%,NaN,NaN,NaN,NaN
4827,Quintin Demps,"5' 11""",20%,216 lbs,80%,4.39 sec,93%,NaN,NaN,NaN,NaN,31.5 in,10%,110 in,7%,16 reps,40%,NaN,NaN,NaN,NaN
4828,Craig Steltz,"6' 1""",40%,210 lbs,50%,4.63 sec,30%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4840,Jermichael Finley,"6' 5""",60%,247 lbs,25%,4.82 sec,32%,4.38 sec,54%,7.15 sec,40%,27.5 in,8%,117 in,70%,20 reps,40%,NaN,NaN,NaN,NaN
4846,Jerome Felton,"6' 0""",25%,248 lbs,70%,4.68 sec,80%,4.46 sec,35%,NaN,NaN,32.5 in,50%,110 in,40%,30 reps,90%,NaN,NaN,NaN,NaN
4849,Kellen Davis,"6' 7""",95%,265 lbs,88%,4.60 sec,82%,NaN,NaN,NaN,NaN,NaN,NaN,117 in,70%,22 reps,60%,NaN,NaN,NaN,NaN
4856,Letroy Guion,"6' 4""",60%,322 lbs,85%,5.31 sec,16%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26 reps,30%,NaN,NaN,NaN,NaN
4860,Stevie Johnson,"6' 2""",60%,207 lbs,58%,4.58 sec,20%,4.26 sec,40%,7.07 sec,20%,32.5 in,17%,121 in,60%,NaN,NaN,NaN,NaN,NaN,NaN
4871,Orlando Scandrick,"5' 10""",20%,196 lbs,67%,4.32 sec,94%,NaN,NaN,6.83 sec,48%,NaN,NaN,125 in,70%,NaN,NaN,NaN,NaN,NaN,NaN
4874,Danny Amendola,"5' 11""",20%,185 lbs,15%,4.58 sec,20%,4.25 sec,43%,6.81 sec,68%,27.5 in,3%,103 in,0%,13 reps,30%,NaN,NaN,NaN,NaN
4877,Danny Woodhead,"5' 8""",10%,200 lbs,17%,4.38 sec,91%,4.20 sec,63%,7.03 sec,44%,38.0 in,90%,121 in,70%,20 reps,50%,9.13 in,40%,28.38 in,15%
4893,BenJarvus Green-Ellis,"5' 11""",60%,220 lbs,70%,4.60 sec,34%,NaN,NaN,NaN,NaN,30.5 in,10%,114 in,30%,24 reps,80%,NaN,NaN,NaN,NaN
4909,Brent Grimes,"5' 10""",20%,185 lbs,18%,4.57 sec,22%,4.35 sec,13%,7.13 sec,8%,33.5 in,20%,121 in,50%,4 reps,3%,NaN,NaN,NaN,NaN
4914,Domata Peko,"6' 3""",40%,325 lbs,87%,5.27 sec,20%,4.49 sec,80%,7.69 sec,27%,28.5 in,45%,103 in,30%,25 reps,25%,NaN,NaN,NaN,NaN
4919,Kroy Biermann,"6' 3""",20%,255 lbs,18%,4.85 sec,43%,4.56 sec,28%,7.08 sec,77%,31.5 in,35%,112 in,40%,29 reps,83%,NaN,NaN,NaN,NaN
4922,Tramon Williams,"5' 11""",50%,191 lbs,45%,4.57 sec,22%,4.20 sec,40%,6.95 sec,27%,37.5 in,73%,127 in,80%,13 reps,30%,NaN,NaN,NaN,NaN
4923,Nick Hayden,"6' 4""",60%,303 lbs,43%,5.14 sec,37%,4.54 sec,72%,7.55 sec,44%,27.0 in,30%,108 in,70%,34 reps,83%,NaN,NaN,NaN,NaN
4925,Robert James,"5' 11""",3%,235 lbs,20%,4.70 sec,52%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22 reps,45%,NaN,NaN,NaN,NaN
4927,Peyton Hillis,"6' 2""",93%,250 lbs,95%,4.56 sec,43%,NaN,NaN,NaN,NaN,NaN,NaN,117 in,45%,26 reps,90%,NaN,NaN,NaN,NaN
4929,Trae Williams,"5' 10""",20%,195 lbs,63%,4.51 sec,40%,NaN,NaN,NaN,NaN,29.5 in,3%,110 in,3%,NaN,NaN,NaN,NaN,NaN,NaN
4935,Corey Graham,"6' 0""",35%,196 lbs,9%,4.42 sec,91%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10 reps,6%,NaN,NaN,NaN,NaN
4947,Davone Bess,"5' 10""",10%,190 lbs,24%,4.64 sec,9%,4.27 sec,38%,6.97 sec,37%,31.5 in,10%,118 in,40%,12 reps,25%,NaN,NaN,NaN,NaN
4968,Kevin Vickerson,"6' 5""",90%,328 lbs,90%,5.00 sec,72%,4.64 sec,52%,7.78 sec,22%,32.5 in,85%,103 in,30%,NaN,NaN,NaN,NaN,NaN,NaN
5012,Marcel Reece,"6' 1""",30%,235 lbs,13%,4.42 sec,100%,4.26 sec,80%,7.20 sec,29%,36.5 in,92%,114 in,75%,NaN,NaN,NaN,NaN,NaN,NaN
5016,Hakeem Nicks,"6' 1""",40%,208 lbs,60%,4.51 sec,47%,4.43 sec,11%,6.96 sec,38%,36.0 in,60%,NaN,NaN,NaN,NaN,10.50 in,97%,33.50 in,85%
5021,Jeremy Maclin,"6' 0""",30%,198 lbs,40%,4.45 sec,70%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5022,Michael Crabtree,"6' 1""",40%,215 lbs,80%,4.54 sec,37%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5024,Kenny Britt,"6' 3""",80%,230 lbs,94%,4.47 sec,63%,4.47 sec,9%,NaN,NaN,37.0 in,75%,124 in,75%,23 reps,94%,9.00 in,20%,34.00 in,91%
5025,Chris Baker,"6' 2""",10%,320 lbs,100%,4.94 sec,22%,4.90 sec,4%,8.06 sec,0%,35.5 in,80%,106 in,10%,24 reps,50%,NaN,NaN,NaN,NaN
5027,Donald Brown,"5' 10""",50%,207 lbs,30%,4.46 sec,78%,4.10 sec,88%,6.93 sec,63%,41.5 in,97%,125 in,90%,NaN,NaN,NaN,NaN,NaN,NaN
5029,James Casey,"6' 3""",10%,240 lbs,9%,4.66 sec,73%,4.48 sec,33%,7.00 sec,91%,36.0 in,83%,116 in,65%,28 reps,91%,NaN,NaN,NaN,NaN
5031,LeSean McCoy,"5' 11""",60%,210 lbs,40%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.87 in,25%,31.75 in,80%
5032,Matthew Stafford,"6' 3""",60%,220 lbs,37%,4.81 sec,53%,4.47 sec,28%,7.06 sec,57%,30.5 in,40%,107 in,30%,NaN,NaN,NaN,NaN,NaN,NaN
5034,Mark Sanchez,"6' 2""",30%,232 lbs,80%,4.93 sec,28%,4.21 sec,73%,7.06 sec,57%,32.5 in,65%,116 in,83%,NaN,NaN,NaN,NaN,NaN,NaN
5035,Percy Harvin,"5' 11""",20%,185 lbs,15%,4.39 sec,84%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19 reps,80%,9.38 in,60%,31.63 in,33%
5036,Cameron Wake,"6' 3""",70%,263 lbs,96%,4.65 sec,67%,4.11 sec,90%,7.12 sec,54%,45.5 in,100%,130 in,96%,20 reps,30%,NaN,NaN,NaN,NaN
5037,Jairus Byrd,"5' 10""",10%,203 lbs,23%,4.68 sec,14%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5040,Austin Collie,"6' 0""",30%,200 lbs,43%,4.56 sec,30%,4.24 sec,47%,6.78 sec,72%,34.0 in,35%,120 in,50%,17 reps,70%,9.00 in,20%,31.00 in,17%
5041,Emanuel Cook,"5' 10""",10%,214 lbs,73%,4.52 sec,67%,4.17 sec,60%,6.67 sec,93%,37.0 in,70%,126 in,87%,12 reps,10%,NaN,NaN,NaN,NaN
5042,Jared Cook,"6' 5""",60%,254 lbs,50%,4.49 sec,93%,4.56 sec,14%,7.25 sec,26%,41.0 in,96%,123 in,91%,23 reps,70%,NaN,NaN,NaN,NaN
5045,Vontae Davis,"5' 11""",50%,207 lbs,92%,4.40 sec,80%,4.07 sec,70%,6.75 sec,68%,36.0 in,60%,125 in,70%,25 reps,97%,NaN,NaN,NaN,NaN
5047,Josh Freeman,"6' 6""",90%,240 lbs,91%,4.90 sec,33%,4.43 sec,36%,7.11 sec,44%,33.5 in,80%,119 in,90%,NaN,NaN,NaN,NaN,NaN,NaN
5053,Andre Smith,"6' 4""",10%,330 lbs,88%,4.63 sec,100%,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19 reps,10%,10.00 in,40%,33.13 in,13%
5054,Darrius Heyward-Bey,"6' 2""",60%,210 lbs,67%,4.25 sec,100%,4.18 sec,63%,6.80 sec,70%,38.5 in,87%,125 in,80%,16 reps,60%,NaN,NaN,NaN,NaN
5061,Curtis Painter,"6' 4""",70%,230 lbs,73%,4.87 sec,37%,4.48 sec,27%,NaN,NaN,29.0 in,25%,102 in,10%,NaN,NaN,NaN,NaN,NaN,NaN
5065,Knowshon Moreno,"5' 11""",60%,220 lbs,70%,4.50 sec,65%,4.27 sec,44%,6.84 sec,81%,35.5 in,65%,115 in,35%,25 reps,85%,NaN,NaN,NaN,NaN
5066,Andre Brown,"6' 0""",80%,227 lbs,82%,4.37 sec,92%,4.33 sec,35%,7.35 sec,1%,37.0 in,83%,115 in,35%,24 reps,80%,NaN,NaN,NaN,NaN
5067,Shonn Greene,"5' 11""",60%,233 lbs,91%,4.62 sec,30%,4.40 sec,20%,7.10 sec,34%,37.0 in,83%,121 in,70%,19 reps,40%,NaN,NaN,NaN,NaN
5068,Rashad Jennings,"6' 1""",90%,231 lbs,90%,4.59 sec,36%,4.20 sec,63%,6.86 sec,77%,34.0 in,40%,120 in,65%,29 reps,93%,NaN,NaN,NaN,NaN
5069,Mike Goodson,"6' 0""",80%,210 lbs,40%,4.46 sec,78%,4.22 sec,57%,NaN,NaN,39.5 in,93%,118 in,50%,14 reps,8%,NaN,NaN,NaN,NaN
5073,Arian Foster,"6' 1""",90%,227 lbs,82%,4.69 sec,16%,4.53 sec,8%,7.09 sec,36%,32.0 in,20%,115 in,35%,23 reps,70%,NaN,NaN,NaN,NaN
